manga_id,title,type,score,status,genres_Action,genres_Comedy,genres_Drama,genres_Fantasy,genres_Romance,themes_School,demographics_Seinen,demographics_Shoujo,demographics_Shounen,score,log_scored_by,log_members,log_favorites,Content_Others
2,Berserk,manga,9.47,currently_publishing,1,0,1,1,0,0,1,0,0,1.0,0.9744698794228085,1.0000000000000002,1.0,1
13,One Piece,manga,9.22,currently_publishing,1,0,0,1,0,0,0,0,1,0.8987854251012144,0.9873387694478041,0.9837030991196147,0.9940653509541943,1
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,manga,9.3,finished,1,0,0,0,0,0,1,0,1,0.931174089068826,0.8835843003004166,0.8527582877969195,0.9099946748562423,1
4632,Oyasumi Punpun,manga,9.02,finished,0,0,1,0,0,0,1,0,0,0.8178137651821857,0.8965438947917034,0.9316442989810418,0.9243943461165144,1
25,Fullmetal Alchemist,manga,9.03,finished,1,0,1,1,0,0,0,0,1,0.8218623481781373,0.8849564203622645,0.8734152950865857,0.8807511789245827,1
656,Vagabond,manga,9.24,on_hiatus,1,0,0,0,0,0,1,0,0,0.9068825910931171,0.8647302042263044,0.9057252831312785,0.9025344462795716,1
642,Vinland Saga,manga,9.05,currently_publishing,1,0,1,0,0,0,1,0,0,0.8299595141700404,0.855080938698728,0.8726971316896313,0.8850378671563958,1
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,manga,8.92,finished,0,1,0,0,0,1,1,0,0,0.7773279352226719,0.8586269682196123,0.8578049611339655,0.8762656572128801,1
116778,Chainsaw Man,manga,8.75,currently_publishing,1,0,0,0,0,0,0,0,1,0.7085020242914979,0.9855048744782725,0.9808912546624369,0.9632212644232253,1
1,Monster,manga,9.15,finished,0,0,1,0,0,0,1,0,0,0.8704453441295543,0.8206955189815329,0.8396821184637651,0.8467816932319576,1
56805,Koe no Katachi,manga,8.86,finished,0,0,1,0,0,0,0,0,1,0.7530364372469629,0.8753032465413854,0.8602844466598052,0.8556370695584604,1
44347,One Punch-Man,manga,8.75,currently_publishing,1,1,0,0,0,0,1,0,0,0.7085020242914979,0.9317355093601015,0.9471264933375296,0.9007483542752666,1
3,20th Century Boys,manga,8.95,finished,0,0,1,0,0,0,1,0,0,0.7894736842105257,0.8088548783227693,0.8453178431537427,0.8410095643619524,1
21,Death Note,manga,8.7,finished,0,0,0,0,0,0,0,0,1,0.6882591093117405,0.9288038143053184,0.9190888701276709,0.8855005641514396,1
35243,Haikyuu!!,manga,8.84,finished,0,0,0,0,0,1,0,0,1,0.7449392712550602,0.8327566604159985,0.8247691330525264,0.8365596875327835,1
121496,Solo Leveling,manhwa,8.68,finished,1,0,0,1,0,0,0,0,0,0.6801619433198378,0.9459745672410925,0.939496705308027,0.9069110754193187,1
51,Slam Dunk,manga,9.08,finished,0,0,0,0,0,1,0,0,1,0.8421052631578942,0.79124328318653,0.7826864390540651,0.8223429084677318,1
